Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1268.1,2223.7,3491.8,0
2,1005,2269.5,3274.5,0
3,1011.9,2436.9,3448.8,0
4,987.12,1567.4,2554.5,0
5,1067.2,1497.8,2565,0
6,1047.6,1559.2,2606.8,0
7,1157.5,2477.6,3635.2,0
8,1084.3,2242.1,3326.4,0
9,851,1072.7,1923.7,0
10,1076.2,2269.1,3345.4,0
11,1154.8,1990.7,3145.5,0
12,1161.9,2626.1,3788.1,0
13,988.46,1315.3,2303.7,0
14,1220.3,2365.7,3586.1,0
15,1155.8,2251,3406.9,0
16,1176.5,2672.5,3849.1,0
17,1139.7,1703.7,2843.4,0
18,1080.5,1605.9,2686.4,0
19,888.74,1045.2,1934,0
20,1205,2673,3878,0
21,1049.7,1870.6,2920.3,0
22,1170.5,2495.5,3666,0
23,893.61,1024.2,1917.8,0
24,1125,2333.8,3458.8,0
25,1134.6,2330,3464.6,0
26,624.45,700.44,1324.9,0
