Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1097.3,573.88,1671.2,0
2,943.66,2421,3364.6,0
3,1190.3,825.9,2016.2,0
4,917.52,1188.2,2105.7,0
5,1070.2,2387.8,3458,0
6,1305.2,1578.3,2883.5,0
7,1121.2,2250.5,3371.8,0
8,1833,2798.2,4631.2,0
9,954.94,2421.2,3376.2,0
10,1276.1,726.67,2002.8,0
11,1347.7,2321,3668.7,0
12,1297.5,2231.2,3528.8,0
13,1994.9,2572.2,4567.1,0
14,921.14,2422,3343.1,0
15,915.28,943.08,1858.4,0
16,959.9,1927.3,2887.2,0
17,980.07,1946.7,2926.8,0
18,1294.5,1684.1,2978.6,0
19,873.64,1863.1,2736.7,0
20,1098.2,1614.4,2712.6,0
21,825.98,1105.1,1931.1,0
22,947.64,872.9,1820.5,0
23,429.95,1919.7,2349.7,0
24,960.56,2779.1,3739.6,0
25,1079.7,2271,3350.8,0
26,1181.9,2553.5,3735.4,0
