Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,763.56,1024.4,1788,0
2,850.73,1111.8,1962.6,0
3,1150.1,2219.7,3369.9,0
4,1085.2,1593,2678.2,0
5,577.98,582.35,1160.3,0
6,1040.9,2277.1,3318.1,0
7,930.09,1124.2,2054.3,0
8,868.28,947.04,1815.3,0
9,934.48,1341,2275.5,0
10,1106,2078.8,3184.8,0
11,1058.6,1433.4,2492,0
12,963.15,1350.7,2313.8,0
13,1257.5,2987.9,4245.4,0
14,888.9,1208.8,2097.7,0
15,1071,1529.5,2600.5,0
16,907.18,1876.9,2784.1,0
17,1103.5,1866.2,2969.8,0
18,1123.9,2929.3,4053.2,0
19,877.08,982.75,1859.8,0
20,1175.4,2348.9,3524.4,0
21,1014.9,1338.9,2353.7,0
22,1156.6,1953.2,3109.8,0
23,1146.1,2535.8,3681.9,0
24,768.01,1027.8,1795.9,0
25,1337.2,2648.5,3985.8,0
26,1250.8,2257,3507.7,0
